year,pbd,avg_tmp_prevdec,avg_tmp_jan,avg_tmp_feb,avg_tmp_mar,precip_prevdec,precip_jan,precip_feb,precip_mar,snow_prevdec,snow_jan,snow_feb,snow_mar,first_frost_to_jan1
1921,79,39.3,36.6,39.0,55.5,3.15,2.3,2.29,2.76,0.2,1.8,7.1,0.05,50
1922,97,37.9,31.9,38.7,45.3,1.95,5.56,2.86,4.74,5.5,31.5,3,6.5,52
1923,99,37.6,36.8,32.6,45.3,3.48,4.24,2.19,4.47,1.8,3.1,3.9,6.7,40
1924,104,45.0,35.0,34.3,42.6,2.8,3.21,3.05,6.17,1.7,1,5.3,9.3,60
1925,86,36.5,32.9,43.1,46.4,2.98,4.44,0.98,1.6,0.5,19.7,0.05,0.05,46
1926,101,36.9,33.8,36.5,40.1,1.07,3.6,4.17,2.07,0.05,3.4,12.3,0.05,65
1927,79,33.8,34.0,42.1,47.6,3.02,1.2,3.34,1.27,3,0.3,5.5,0.05,65
1928,99,39.1,35.9,37.6,44.1,3.51,2.63,2.69,2.17,2.5,10.6,0.1,0.5,55
1929,90,39.2,34.9,35.1,50.3,1.21,2.16,3.19,2.64,0.05,0.3,7.5,0.05,63
1930,91,38.4,35.6,41.9,45.0,2.2,2.85,1.64,2.26,1.5,16.3,1.5,0.05,52
1931,101,35.7,37.0,39.4,41.3,2.04,1.56,1.36,3.5,2.5,0.05,0.05,0.05,72
1932,106,44.3,46.8,42.9,40.1,2.03,4.82,2.46,6.45,1,0.05,0.05,4,55
1933,99,39.6,42.6,38.4,43.0,3.93,3.25,2.63,3.24,14.5,0.05,8.3,1,49
1934,105,38.5,39.0,24.6,41.2,2.43,1.97,3.22,4.18,3,0.05,19.6,9.4,67
1935,91,37.3,33.3,35.4,50.2,2.91,5.27,2.37,3.39,3,25.4,3.5,0.5,59
1936,98,32.1,30.6,29.6,50.3,2.06,5.87,3.83,4.47,11,3,19,0.05,39
1937,104,39.9,43.8,36.6,42.1,5.23,7.83,3.33,1.5,1.5,0.05,7.7,11.1,66
1938,84,37.0,35.7,40.9,49.8,0.71,2.64,2.37,2.23,0.05,1.5,1.5,2.6,68
1939,89,38.4,37.7,42.3,46.4,2.69,3.41,5.71,2.89,0.05,7.8,0.3,0.05,38
1940,104,40.1,24.9,37.1,40.7,2.2,2.12,2.77,3.42,4.4,15.3,4.3,0.4,58
