Year,Last Frost,First Frost
1920,Apr-10 (1920),Nov-12 (1920)
1921,Apr-11 (1921),Nov-10 (1921)
1922,Mar-23 (1922),Nov-22 (1922)
1923,Apr-15 (1923),Nov-02 (1923)
1924,Apr-03 (1924),Nov-16 (1924)
1925,Apr-21 (1925),Oct-28 (1925)
1926,Apr-20 (1926),Oct-28 (1926)
1927,Mar-25 (1927),Nov-07 (1927)
1928,Apr-18 (1928),Oct-30 (1928)
1929,Mar-11 (1929),Nov-10 (1929)
1930,Mar-23 (1930),Oct-21 (1930)
1931,Mar-21 (1931),Nov-07 (1931)
1932,Mar-16 (1932),Nov-13 (1932)
1933,Mar-30 (1933),Oct-26 (1933)
1934,Mar-29 (1934),Nov-03 (1934)
1935,Apr-16 (1935),Nov-23 (1935)
1936,Apr-08 (1936),Oct-27 (1936)
1937,Mar-28 (1937),Oct-25 (1937)
1938,Mar-11 (1938),Nov-24 (1938)
1939,Apr-13 (1939),Nov-04 (1939)
1940,Apr-14 (1940),Oct-21 (1940)
1941,Mar-31 (1941),Nov-11 (1941)
1942,Mar-30 (1942),Oct-28 (1942)
1943,Apr-16 (1943),Nov-14 (1943)
1944,Apr-06 (1944),Nov-13 (1944)
1945,Mar-05 (1945),Nov-05 (1945)
1946,Mar-12 (1946),Nov-16 (1946)
1947,Mar-31 (1947),Nov-13 (1947)
1948,Mar-29 (1948),Dec-01 (1948)
1949,Mar-20 (1949),Nov-06 (1949)
1950,Apr-15 (1950),Nov-12 (1950)
1951,Mar-27 (1951),Nov-03 (1951)
1952,Mar-25 (1952),Oct-21 (1952)
1953,Mar-11 (1953),Nov-06 (1953)
1954,Apr-04 (1954),Nov-01 (1954)
1955,Mar-29 (1955),Nov-18 (1955)
1956,Apr-21 (1956),Nov-19 (1956)
1957,Mar-11 (1957),Nov-11 (1957)
1958,Mar-20 (1958),Nov-27 (1958)
1959,Mar-29 (1959),Nov-08 (1959)
1960,Mar-27 (1960),Nov-07 (1960)
1961,Apr-03 (1961),Nov-11 (1961)
1962,Apr-04 (1962),Oct-27 (1962)
1963,Mar-23 (1963),Nov-13 (1963)
1964,Apr-05 (1964),Oct-24 (1964)
1965,Apr-05 (1965),Oct-29 (1965)
1966,Mar-29 (1966),Nov-04 (1966)
1967,Apr-12 (1967),Nov-06 (1967)
1968,Mar-15 (1968),Oct-31 (1968)
1969,Apr-01 (1969),Oct-24 (1969)
1970,Mar-30 (1970),Nov-17 (1970)
1971,Mar-31 (1971),Nov-08 (1971)
1972,Apr-09 (1972),Oct-20 (1972)
1973,Apr-14 (1973),Nov-07 (1973)
1974,Mar-26 (1974),Oct-21 (1974)
1975,Mar-27 (1975),Dec-03 (1975)
1976,Apr-12 (1976),Oct-28 (1976)
1977,Apr-09 (1977),Nov-14 (1977)
1978,Mar-18 (1978),Dec-10 (1978)
1979,Mar-16 (1979),Nov-30 (1979)
1980,Mar-13 (1980),Dec-14 (1980)
1981,Mar-20 (1981),Nov-23 (1981)
1982,Apr-08 (1982),Nov-06 (1982)
1983,Mar-30 (1983),Dec-02 (1983)
1984,Mar-24 (1984),Nov-20 (1984)
1985,Apr-10 (1985),Dec-02 (1985)
1986,Mar-23 (1986),Nov-13 (1986)
1987,Apr-01 (1987),Nov-11 (1987)
1988,Mar-23 (1988),Nov-25 (1988)
1989,Mar-20 (1989),Nov-18 (1989)
1990,Apr-13 (1990),Nov-19 (1990)
1991,Mar-31 (1991),Nov-04 (1991)
1992,Apr-04 (1992),Oct-20 (1992)
1993,Mar-20 (1993),Nov-02 (1993)
1994,Mar-18 (1994),Nov-24 (1994)
1995,Apr-05 (1995),Nov-05 (1995)
1996,Mar-23 (1996),Nov-12 (1996)
1997,Apr-10 (1997),Nov-16 (1997)
1998,Mar-25 (1998),Nov-05 (1998)
1999,Mar-23 (1999),Nov-18 (1999)
2000,Mar-19 (2000),Nov-16 (2000)
2001,Mar-28 (2001),Dec-22 (2001)
2002,Apr-07 (2002),Nov-27 (2002)
2003,Apr-01 (2003),Nov-10 (2003)
2004,Apr-05 (2004),Dec-04 (2004)
2005,Mar-18 (2005),Nov-17 (2005)
2006,Mar-23 (2006),Nov-04 (2006)
2007,Apr-09 (2007),Nov-24 (2007)
2008,Mar-09 (2008),Nov-18 (2008)
2009,Mar-24 (2009),Dec-06 (2009)
2010,Feb-27 (2010),Nov-29 (2010)
2011,Mar-28 (2011),Dec-10 (2011)
2012,Mar-06 (2012),Nov-26 (2012)
2013,Apr-04 (2013),Nov-13 (2013)
2014,Mar-27 (2014),Nov-15 (2014)
2015,Mar-29 (2015),Nov-23 (2015)
2016,Apr-10 (2016),Nov-23 (2016)
2017,Mar-23 (2017),Nov-10 (2017)
2018,Mar-21 (2018),Nov-11 (2018)
2019,Mar-08 (2019),Nov-09 (2019)
2020,Mar-01 (2020),Nov-19 (2020)
2021,Apr-02 (2021),Nov-23 (2021)
2022,Mar-29 (2022),Nov-18 (2022)
2023,Mar-20 (2023),Nov-28 (2023)
2024,Mar-21 (2024),Nov-30 (2024)
