Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1920,2.30,3.47,2.39,4.69,1.42,4.80,5.71,4.70,2.87,0.40,4.51,3.15,40.41
1921,2.3,2.29,2.76,2.93,5.82,3.45,4.79,1.1,3.29,1.35,4.15,1.95,36.18
1922,5.56,2.86,4.74,1.05,4.27,4.1,9.59,3.08,6.27,1.41,0.55,3.48,46.96
1923,4.24,2.19,4.47,3.94,1.5,2.8,4.92,2.19,3.15,1.36,2.04,2.8,35.6
1924,3.21,3.05,6.17,5.39,6.73,3.89,2.76,5.07,7.86,0.44,1.47,2.98,49.02
1925,4.44,0.98,1.6,2.44,1.67,1.53,3.82,3.89,3.05,4.86,3.53,1.07,32.88
1926,3.6,4.17,2.07,0.79,2.22,1.66,4.2,5.5,6.8,4.23,5.29,3.02,43.55
1927,1.2,3.34,1.27,4.96,2.21,4.01,1.82,3.84,1.19,5.33,2.65,3.51,35.33
1928,2.63,2.69,2.17,4.49,4,2.66,2.17,14.41,4.29,0.67,2.01,1.21,43.4
1929,2.16,3.19,2.64,6.1,2.29,7.41,1.29,1.3,4.32,4.81,1.7,2.2,39.41
1930,2.85,1.64,2.26,3.12,1.81,3.19,2.3,0.62,0.76,0.28,0.79,2.04,21.66
1931,1.56,1.36,3.5,2.87,4.84,2.12,4.23,5.92,2.79,1.28,1.01,2.03,33.51
1932,4.82,2.46,6.45,2.12,5.07,2.84,2.43,1.36,4.24,7.4,6.43,3.93,49.55
1933,3.25,2.63,3.24,4.67,6.26,3.88,6.71,9.91,2.62,2.56,0.95,2.43,49.11
1934,1.97,3.22,4.18,2.27,3.85,2.87,2.88,5.21,17.45,0.75,3.58,2.91,51.14
1935,5.27,2.37,3.39,3.95,3.54,3.43,2.25,2.4,8.08,2.76,4.03,2.06,43.53
1936,5.87,3.83,4.47,1.98,5.32,2.29,4.07,3.61,1.98,1.7,0.76,5.23,41.11
1937,7.83,3.33,1.5,6.85,4.02,5.23,3.67,6.7,1.76,8.81,3.88,0.71,54.29
1938,2.64,2.37,2.23,1.67,3.51,2.26,5.06,4.64,4.27,1.15,2.6,2.69,35.09
1939,3.41,5.71,2.89,3.78,0.41,4.55,2.01,3.22,6.9,4.06,1.4,2.2,40.54
1940,2.12,2.77,3.42,6.19,3.1,0.86,5.73,5,1.34,2.15,5.26,2.27,40.21
1941,3.04,0.92,2.57,2.73,1.58,4.38,5.67,1.92,0.53,1.08,0.81,3.94,29.17
1942,2.47,2.03,5.96,0.54,3.93,5.35,5.4,9.49,2.6,8.33,2.1,3.83,52.03
1943,2.87,2.02,4.31,3.3,4.04,2.43,1.46,0.74,2.88,4.29,4.23,1.54,34.11
1944,2.96,2.48,5.44,3.08,1.02,2.78,2.44,6.49,5.77,3.22,3.29,3.33,42.3
1945,2.89,2.94,0.84,3.26,3.44,5.13,11.06,2.62,3.93,1.34,4.24,4.71,46.4
1946,1.88,2.32,1.67,1.93,6.99,1.4,3.14,5.75,2.72,2.77,1.33,1.72,33.62
1947,3.81,1.27,1.02,2.48,4.44,6.86,3.47,1.81,4.7,1.23,4.2,1.36,36.65
1948,4.57,1.67,3.66,3.05,8.87,5.44,4.31,9,3.19,3.09,6,4.69,57.54
1949,5.08,2.68,3.42,1.94,6.33,2.42,4.22,4.09,3.49,3.27,0.94,1.98,39.86
1950,1.91,2.72,4.17,1.86,5.76,3.14,5.11,7.32,6.73,3.59,2.87,2.72,47.9
1951,2.18,2.65,2.92,3.49,2.74,6.69,5.25,1.75,2.67,1.67,4.79,4.54,41.34
1952,4.48,1.77,3.76,5.97,4.73,3.06,4.46,5.2,4.06,0.66,6.33,2.95,47.43
1953,4.13,2.35,7.43,4.77,10.69,2.98,2.72,3.48,4.07,3.73,1.5,3.32,51.17
1954,2.3,0.85,3.47,3.3,2.98,1.24,1.7,3.15,0.63,4.06,1.78,2.82,28.28
1955,0.31,3.13,3.7,2.57,3.38,2.76,2.32,14.31,0.65,6.46,1.63,0.22,41.44
1956,1.99,2.82,3.53,2.06,2.17,2.66,5.88,1.94,3.7,2.62,2.81,3.02,35.2
1957,2.61,2.75,2.23,2.73,1.4,3.02,1.05,2.44,3.57,2.49,2.87,5.62,32.78
1958,2.51,4.14,5.85,4.92,2.77,3.21,7.15,6.49,2.57,2.35,2.04,1.62,45.62
1959,2.21,1.51,2.2,4.01,2.89,5.35,4.38,2.87,2.05,2.43,2.22,3.26,35.38
1960,2.66,3.33,2.08,3.15,4.35,2.52,4.61,4.13,4.17,2.54,0.99,2.43,36.96
1961,3.12,5.71,4.18,3.24,2.57,4.84,3.95,6.31,1.02,2.37,1.75,2.88,41.94
1962,1.59,3.65,3.83,2.9,3.46,2.44,1.63,0.55,2.64,1.93,5.12,3.33,33.07
1963,1.86,1.94,5.43,0.99,1.06,6.87,1.95,7.21,3.61,T,6.7,1.72,39.34
1964,3.98,3.38,2.53,4.37,1.46,1.3,1.87,1.89,3.07,1.34,1.42,2.87,29.48
1965,2.73,1.89,4.37,1.65,1.72,1.88,2.98,4.44,2.12,2.32,0.37,0.47,26.94
1966,3.95,3.57,1.44,3.33,2.74,2.02,0.93,1.67,6.87,4.72,1.5,3.28,36.02
1967,1.35,2.32,3.49,0.8,4.27,1.51,5.24,9.17,0.2,1.77,2.1,5.93,38.15
1968,1.97,0.8,3.66,1.53,4.23,7.4,1.31,3.95,2.97,3.17,3.62,2.22,36.83
1969,1.69,2.08,1.6,1.71,1.2,3.46,9.44,6.98,5.07,1.14,2.39,6.54,43.3
1970,1.24,2.69,2.82,5.35,2.79,2.8,8.12,1.09,1.57,2.05,5.77,3.33,39.62
1971,1.86,5.44,1.93,2.1,6.8,1.72,4.97,7.18,2.48,6.12,3.76,1.66,46.02
1972,2.45,5.27,2.27,3.99,4.78,11.53,3.43,2.82,1.27,3.56,6.05,4.55,51.97
1973,2.26,2.68,2.97,4.19,3.39,2.11,2.68,4.41,1.58,1.71,0.97,6.03,34.98
1974,2.66,0.95,4.21,2.26,4.37,3.4,1.15,5.77,4.39,1.13,1.24,4.43,35.96
1975,3.09,1.56,5.33,2.13,4.71,2.15,7.16,3.54,12.36,2.38,2.05,4.04,50.5
1976,3.56,1.55,2.51,1.17,3.57,1.21,4.54,2.13,7.23,7.76,0.85,1.99,38.07
1977,1.5,0.66,2.17,2.66,1.73,3.28,4.06,4.74,0.32,5.35,4.81,4.86,36.14
1978,7.11,0.42,4.48,1.38,5.13,2.43,4.28,5.85,1.01,1.16,2.31,4,39.56
1979,6.64,5.62,2.45,1.88,3.55,2.99,3.43,5.41,6.64,5.54,2.33,0.85,47.33
1980,2.85,1.16,5.04,3.28,2.64,1.68,3.86,1.11,1.9,2.59,2.56,0.65,29.32
1981,0.38,2.82,1.49,2.63,3.42,2.55,5.69,3.02,1.94,3.64,0.29,2.8,30.67
1982,2.27,3.33,2.64,3.19,5.11,5.41,2.98,2.68,1.71,1.75,2.96,1.74,35.77
1983,1.69,3.09,4.84,6.88,4.62,7.09,1.78,3.11,2.9,4.87,5.09,5.91,51.87
1984,1.71,3.43,6.14,3.71,3.8,2.01,4.09,2.3,2.51,3.18,3.66,1.19,37.73
1985,2.11,3.07,1.88,0.03,5.79,2.05,2.91,2.35,6.67,3.85,4.47,0.68,35.86
1986,2.38,3.49,0.74,1.98,0.75,1.29,3.79,5.33,0.6,2.01,5.23,4.98,32.57
1987,4.9,2.11,1.54,2.28,2.54,3.9,2.59,2.07,5.11,2.53,4.49,2.57,36.63
1988,3.14,2.52,2.27,2,4.5,0.95,3.74,2.39,1.85,1.75,5.33,1.3,31.74
1989,2.49,2.8,4.3,3.5,7.77,6.02,5.66,1.15,6.68,5.48,2.37,2.1,50.32
1990,2.95,1.3,2.57,4.09,5.2,3.14,3.78,6.74,0.87,3.3,2.17,4.73,40.84
1991,2.9,0.83,4.42,1.39,1.57,1.27,3.76,2.03,3.5,2.03,0.85,5.07,29.62
1992,2.78,2.23,3.48,2.55,3.41,2.35,5.34,2.48,3.49,2.03,3.38,2.86,36.38
1993,2.9,2.27,6.82,3.62,3.4,1.73,1.36,3.87,3.68,2.62,4.76,4.38,41.41
1994,4.28,4.2,8.45,1.58,1.56,1.59,3.61,4.35,2.84,1.19,1.57,2.35,37.57
1995,3.22,1.71,2.14,1.89,4.19,2.42,4.03,0.88,3.73,8.65,4.77,2.17,39.8
1996,5.01,1.99,3.6,3.17,4.96,3.14,5.6,2.63,7.79,4.04,3.58,5.51,51.02
1997,2.55,2.43,4.15,2.41,3.04,2.94,1.14,3.51,1.59,3.72,4.6,1.74,33.82
1998,5.43,5.23,5.4,3.96,4.05,4.42,1.79,0.59,1.83,0.59,0.91,1.74,35.94
1999,5.42,2.54,3.87,2.09,1.28,2.26,1.01,5.02,10.27,2.16,1.82,2.49,40.23
2000,3.66,2.06,3.98,5.13,3.08,4.93,5.51,3.77,4.91,0.02,1.6,2.01,40.66
2001,2.22,1.83,3.88,1.68,3.71,4.69,4.78,2.98,1.41,0.69,0.55,1.53,29.95
2002,1.32,0.47,3.37,3.47,2.17,3.81,2.2,1.63,2.1,5,4.34,4.45,34.33
2003,2.41,6.98,4.2,2.55,7.06,7.87,5.76,4.65,6.87,3.93,4.23,4.32,60.83
2004,1.35,2.28,2.09,3.84,2.98,4.6,6.98,5.09,3.99,1.74,4.5,3.05,42.49
2005,3.31,1.63,4.46,4.33,4.61,2.87,6.06,2.33,0.11,9.41,1.92,3.34,44.38
2006,3.25,2.46,0.05,3.1,2.21,14.02,3.56,1.03,6.31,5.06,5.16,1.56,47.77
2007,2.46,2.22,3.19,4.17,1.75,1.38,2.4,3.47,0.6,6.55,1.46,3.28,32.93
2008,1.37,4.17,2.8,4.92,10.66,4.8,3.6,1.23,6.41,1.13,2.43,2.97,46.49
2009,2.68,0.35,1.97,4.22,8.05,5.86,1.07,2.46,3.31,5.71,4.43,6.79,46.9
2010,1.56,2.72,3.55,1.5,2.4,1.87,5.17,2.59,6.02,3.4,2.22,1.78,34.78
2011,2.25,2.12,4.4,3.2,1.7,1.68,3.03,8.92,8.84,3.91,1.94,4.9,46.89
2012,2.19,2.33,1.02,1.92,3.28,2.38,2.81,2.78,4.29,5.82,0.6,3.03,32.45
