Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,June,Season
1920-1921,T,0.0,0.0,0.0,T,0.2,1.8,7.1,T,T,0.0,0.0,9.1
1921-1922,0,0,0,0,T,5.5,31.5,3,6.5,0,0,0,46.5
1922-1923,0,0,0,0,T,1.8,3.1,3.9,6.7,0.5,T,0,16
1923-1924,0,0,0,0,T,1.7,1,5.3,9.3,5.5,0,0,22.8
1924-1925,0,0,0,0,T,0.5,19.7,T,T,0,0,0,20.2
1925-1926,0,0,0,2.2,T,T,3.4,12.3,T,T,0,0,17.9
1926-1927,0,0,0,T,0,3,0.3,5.5,T,T,0,0,8.8
1927-1928,0,0,0,0,T,2.5,10.6,0.1,0.5,T,T,0,13.7
1928-1929,0,0,0,0,0.2,T,0.3,7.5,T,T,0,0,8
1929-1930,0,0,0,T,1.1,1.5,16.3,1.5,T,T,0,0,20.4
1930-1931,0,0,0,0,T,2.5,T,T,T,T,0,0,2.5
1931-1932,0,0,0,0,T,1,T,T,4,0,0,0,5
1932-1933,0,0,0,0,0,14.5,T,8.3,1,T,0,0,23.8
1933-1934,0,0,0,0,0.5,3,T,19.6,9.4,T,0,0,32.5
1934-1935,T,T,0,0,T,3,25.4,3.5,0.5,T,0,0,32.4
1935-1936,0,0,0,0,T,11,3,19,T,T,0,0,33
1936-1937,0,0,0,0,T,1.5,T,7.7,11.1,T,T,T,20.3
1937-1938,0,0,0,0,T,T,1.5,1.5,2.6,T,T,0,5.6
1938-1939,0,0,0,0,7,T,7.8,0.3,T,T,0,T,15.1
1939-1940,0,0,0,0,0.4,4.4,15.3,4.3,0.4,0.5,0,0,25.3
1940-1941,0,0,0,1.5,T,T,3.2,2,11.2,0,0,0,17.9
1941-1942,0,0,0,0,0,0.2,1.8,0.1,11.5,0,0,0,13.6
1942-1943,0,0,0,0,0,5.8,6.2,0.7,7.8,T,0,0,20.5
1943-1944,0,0,0,0,T,T,4.1,2.1,1.2,0.2,0,0,7.6
1944-1945,0,0,0,0,T,2.2,3.4,2.6,T,0,0,0,8.2
1945-1946,0,0,0,0,T,10.3,6.8,4.5,T,0,0,0,21.6
1946-1947,0,0,0,0,0,2.2,4.1,10.3,3.4,0,0,0,20
1947-1948,0,0,0,0,T,3.6,12.2,7.7,T,0,0,0,23.5
1948-1949,0,0,0,0,T,4.4,7.4,4,T,0,0,0,15.8
1949-1950,0,0,0,0,T,T,0.3,T,3.1,T,0,0,3.4
1950-1951,0,0,0,0,1.6,3.8,0.8,3,1,0,T,0,10.2
